iso3,year,gdp
BLR,1994,14952100840
BLR,1995,13970425777
BLR,1996,14756846154
BLR,1997,14130585516
BLR,1998,15221352699
BLR,1999,12138243081
BLR,2000,12736780455
BLR,2001,12354820144
BLR,2002,14594900945
BLR,2003,17825444724
BLR,2004,23141566293
BLR,2005,30210091837
BLR,2006,36961894281
BLR,2007,45275711996
BLR,2008,60752106347
BLR,2009,50873167326
BLR,2010,57231904543
BLR,2011,61762382328
BLR,2012,65685890439
BLR,2013,75527558966
BLR,2014,78812805039
BLR,2015,56454889147
BLR,2016,47723545321
BLR,2017,54725302250
BLR,2018,60031173808
BLR,2019,64410122847
BLR,2020,61371755326
BEL,1990,205332000000
BEL,1991,210511000000
BEL,1992,234782000000
BEL,1993,224722000000
BEL,1994,244884000000
BEL,1995,288026000000
BEL,1996,279201000000
BEL,1997,252708000000
BEL,1998,258528000000
BEL,1999,258246000000
BEL,2000,236792000000
BEL,2001,236746000000
BEL,2002,258384000000
BEL,2003,318083000000
BEL,2004,369215000000
BEL,2005,385715000000
BEL,2006,408260000000
BEL,2007,470922000000
BEL,2008,517328000000
BEL,2009,483254000000
BEL,2010,481421000000
BEL,2011,523330000000
BEL,2012,496153000000
BEL,2013,521791000000
BEL,2014,535390000000
BEL,2015,462336000000
BEL,2016,476063000000
BEL,2017,502765000000
BEL,2018,543299000000
BEL,2019,535866000000
BEL,2020,526022000000
BLZ,1990,545686365.5
BLZ,1991,594975697
BLZ,1992,693625168.2
BLZ,1993,750018765.3
BLZ,1994,769649509.5
BLZ,1995,816491620.2
BLZ,1996,848205276.9
BLZ,1997,870861115.2
BLZ,1998,926550756
BLZ,1999,996906468.7
BLZ,2000,1134756761
BLZ,2001,1168127974
BLZ,2002,1240059540
BLZ,2003,1303381861
BLZ,2004,1394273991
BLZ,2005,1468145956
BLZ,2006,1584207353
BLZ,2007,1699214299
BLZ,2008,1731921564
BLZ,2009,1681473348
BLZ,2010,1739070295
BLZ,2011,1818831938
BLZ,2012,1899503250
BLZ,2013,2021757434
BLZ,2014,2125125606
BLZ,2015,2194709309
BLZ,2016,2240593543
BLZ,2017,2266664817
BLZ,2018,2292787336
BLZ,2019,2386792476
BLZ,2020,2047727810
BEN,1990,1959965330
BEN,1991,1986437797
BEN,1992,1695315306
BEN,1993,2274558083
BEN,1994,1598075944
BEN,1995,2169627138
BEN,1996,2361116449
BEN,1997,2268301646
BEN,1998,2455092686
BEN,1999,3677393999
BEN,2000,3519991440
BEN,2001,3666222635
BEN,2002,4194342686
BEN,2003,5349258094
BEN,2004,6190270380
BEN,2005,6567654954
BEN,2006,7034111315
BEN,2007,8169048383
BEN,2008,9787734526
BEN,2009,9738626517
BEN,2010,9535345016
BEN,2011,10693321364
BEN,2012,11141358116
BEN,2013,12517845124
BEN,2014,13284527847
BEN,2015,11388160997
BEN,2016,11821065853
BEN,2017,12701655837
BEN,2018,14262408090
BEN,2019,14390708751
BEN,2020,15686741884
BMU,1990,1592400000
BMU,1991,1634900000
BMU,1992,1679900000
BMU,1993,1820359900
BMU,1994,1867160100
BMU,1995,2030750000
BMU,1996,2695390000
BMU,1997,2932827000
BMU,1998,3130748000
BMU,1999,3324433000
BMU,2000,3480219000
BMU,2001,3680483000
BMU,2002,3937228000
BMU,2003,4186525000
BMU,2004,4484703000
BMU,2005,4868136000
BMU,2006,6144000000
BMU,2007,6767000000
BMU,2008,6980000000
BMU,2009,6656000000
BMU,2010,6634526000
BMU,2011,6312691000
BMU,2012,6378188000
BMU,2013,6465756000
BMU,2014,6413988000
BMU,2015,6654541000
BMU,2016,6899911000
BMU,2017,7142316000
BMU,2018,7225977000
BMU,2019,7423465000
BMU,2020,6887147000
BTN,1990,287765007.1
BTN,1991,240294286
BTN,1992,240233531.2
BTN,1993,225973692.8
BTN,1994,258954708
BTN,1995,290490983.8
BTN,1996,303408345.6
BTN,1997,352229076.7
BTN,1998,363458380.9
BTN,1999,399311199.5
BTN,2000,460733418.4
BTN,2001,496110225.7
BTN,2002,559345263.7
BTN,2003,651935430.3
BTN,2004,735348490.4
BTN,2005,860391000.2
BTN,2006,942879878.5
BTN,2007,1255767964
BTN,2008,1317517835
BTN,2009,1331343798
BTN,2010,1673464261
BTN,2011,1938441289
BTN,2012,1939730676
BTN,2013,1913162477
BTN,2014,2057330873
BTN,2015,2154921011
BTN,2016,2322730512
BTN,2017,2591358115
BTN,2018,2583335723
BTN,2019,2735683409
BTN,2020,2457604042
BOL,1990,4867582598
BOL,1991,5343262457
BOL,1992,5643868749
BOL,1993,5734699489
BOL,1994,5981222859
BOL,1995,6715161732
BOL,1996,7396949126
BOL,1997,7925736821
BOL,1998,8497494652
BOL,1999,8285064435
BOL,2000,8397855485
BOL,2001,8141516928
BOL,2002,7905485146
BOL,2003,8082399640
BOL,2004,8773451752
BOL,2005,9549122905
BOL,2006,11451844902
BOL,2007,13120108008
BOL,2008,16674276286
BOL,2009,17339992194
BOL,2010,19649723722
BOL,2011,23963164697
BOL,2012,27084497482
BOL,2013,30659338886
BOL,2014,32996188017
BOL,2015,33000198249
BOL,2016,33941126194
BOL,2017,37508642171
BOL,2018,40287647931
BOL,2019,40895322851
BOL,2020,36629843806
BIH,1990,7753478261
BIH,1991,6122959184
BIH,1992,4735044707
BIH,1993,3630668950
BIH,1994,1255802469
BIH,1995,1866572954
BIH,1996,2786045322
BIH,1997,3671909673
BIH,1998,4116774301
BIH,1999,4686256363
BIH,2000,5567772769
BIH,2001,5800615466
BIH,2002,6728220887
BIH,2003,8498894359
BIH,2004,10156541538
BIH,2005,11222796337
BIH,2006,12864841906
BIH,2007,15778734264
BIH,2008,19112796623
BIH,2009,17613949091
BIH,2010,17176315804
BIH,2011,18644233537
BIH,2012,17226735996
BIH,2013,18179108531
BIH,2014,18558733564
BIH,2015,16404348871
BIH,2016,17116926328
BIH,2017,18326373366
BIH,2018,20484053869
BIH,2019,20482608755
BIH,2020,20226036564
BWA,1990,3790636324
BWA,1991,3942876703
BWA,1992,4146464587
BWA,1993,4160129175
BWA,1994,4259259604
BWA,1995,4730599122
BWA,1996,4847757218
BWA,1997,5020265627
BWA,1998,4790481509
BWA,1999,5484263347
BWA,2000,5788329609
BWA,2001,5489608300
BWA,2002,5438863983
BWA,2003,7511582173
BWA,2004,8957467707
BWA,2005,9918907108
BWA,2006,9919158482
BWA,2007,10567270656
BWA,2008,10730829116
BWA,2009,10118459242
BWA,2010,12637273429
BWA,2011,15110643612
BWA,2012,13907464500
BWA,2013,14271738933
BWA,2014,15470088501
BWA,2015,13530748845
BWA,2016,15082637184
BWA,2017,16105155857
BWA,2018,17031943186
BWA,2019,16725908149
BWA,2020,14960291106
BRA,1990,384960000000
BRA,1991,342534000000
BRA,1992,328192000000
BRA,1993,368292000000
BRA,1994,525369000000
BRA,1995,769333000000
BRA,1996,850426000000
BRA,1997,883206000000
BRA,1998,863711000000
BRA,1999,599642000000
BRA,2000,655448000000
BRA,2001,559984000000
BRA,2002,509795000000
BRA,2003,558234000000
BRA,2004,669289000000
BRA,2005,891634000000
BRA,2006,1107630000000
BRA,2007,1397110000000
BRA,2008,1695860000000
BRA,2009,1667000000000
BRA,2010,2208840000000
BRA,2011,2616160000000
BRA,2012,2465230000000
BRA,2013,2472820000000
BRA,2014,2456040000000
BRA,2015,1802210000000
BRA,2016,1795690000000
BRA,2017,2063510000000
BRA,2018,1916930000000
BRA,2019,1873290000000
BRA,2020,1476110000000
BRN,1990,3520487627
BRN,1991,3701774189
BRN,1992,4183632940
BRN,1993,4105729021
BRN,1994,4087220219
BRN,1995,4734103536
BRN,1996,5115454090
BRN,1997,5197311972
BRN,1998,4051142386
BRN,1999,4600116699
BRN,2000,6001282104
BRN,2001,5601018684
BRN,2002,5843368268
BRN,2003,6557397070
BRN,2004,7872202803
BRN,2005,9531420028
BRN,2006,11470464771
BRN,2007,12247677994
BRN,2008,14393434225
BRN,2009,10732595016
BRN,2010,13707280260
BRN,2011,18525128526
BRN,2012,19048443341
BRN,2013,18094321617
BRN,2014,17097802753
BRN,2015,12930291488
BRN,2016,11400466356
BRN,2017,12128183904
BRN,2018,13566937674
BRN,2019,13469235365
BRN,2020,12005799654
BGR,1990,20632090909
BGR,1991,10943548387
BGR,1992,10350515464
BGR,1993,10832064942
BGR,1994,9697416974
BGR,1995,18991484420
BGR,1996,12294964838
BGR,1997,11316127379
BGR,1998,15031055047
BGR,1999,13627325461
BGR,2000,13245990274
BGR,2001,14183446026
BGR,2002,16403043850
BGR,2003,21144957990
BGR,2004,26157743369
BGR,2005,29868657858
BGR,2006,34380536496
BGR,2007,44432811756
BGR,2008,54480684188
BGR,2009,52023801230
BGR,2010,50760929303
BGR,2011,57737040780
BGR,2012,54288135059
BGR,2013,55852123990
BGR,2014,57157782910
BGR,2015,50811995689
BGR,2016,53964253212
BGR,2017,59309748166
BGR,2018,66370132238
BGR,2019,68881010246
BGR,2020,70368758395
BFA,1990,3101300779
BFA,1991,3135045584
BFA,1992,3356692505
BFA,1993,3199536465
BFA,1994,1895290637
BFA,1995,2379517975
BFA,1996,2586550595
BFA,1997,2447669102
BFA,1998,2804902367
BFA,1999,3389566713
BFA,2000,2968370088
BFA,2001,3190371081
BFA,2002,3622350063
BFA,2003,4740768143
BFA,2004,5451688538
BFA,2005,6146353173
BFA,2006,6547419820
BFA,2007,7625722837
BFA,2008,9451435490
BFA,2009,9450696873
BFA,2010,10109619741
BFA,2011,12080295978
BFA,2012,12561015157
BFA,2013,13444300486
BFA,2014,13943016077
BFA,2015,11832159316
BFA,2016,12833363045
BFA,2017,14106955615
BFA,2018,15890066221
BFA,2019,16032813502
BFA,2020,17725010531
BDI,1990,1132101253
BDI,1991,1167398478
BDI,1992,1083037671
BDI,1993,938632612
BDI,1994,925030590.2
BDI,1995,1000428394
BDI,1996,869033856.3
BDI,1997,972896267.9
BDI,1998,893770740.2
BDI,1999,808077223.4
BDI,2000,870486065.9
BDI,2001,876794723.1
BDI,2002,825394519.4
BDI,2003,784654423.6
BDI,2004,915257323.4
BDI,2005,1117113080
BDI,2006,1273375078
BDI,2007,1356199387
BDI,2008,1611835857
BDI,2009,1781455140
BDI,2010,2032135192
BDI,2011,2235820809
BDI,2012,2333341334
BDI,2013,2451606632
BDI,2014,2705783330
BDI,2015,3104003546
BDI,2016,2644487777
BDI,2017,2723586963
BDI,2018,2667182200
BDI,2019,2576518880
BDI,2020,2649680261
CPV,1990,306890962.6
CPV,1991,319827058.6
CPV,1992,357160985.3
CPV,1993,490417389.7
CPV,1994,406580652.3
CPV,1995,487148993.5
CPV,1996,501979269.8
CPV,1997,490608657.9
CPV,1998,521910560.5
CPV,1999,592416703.1
CPV,2000,539227277.6
CPV,2001,563090490.4
CPV,2002,620507387.5
CPV,2003,813260468.9
CPV,2004,924940011.8
CPV,2005,972241676.9
CPV,2006,1107571458
CPV,2007,1649621739
CPV,2008,1959620648
CPV,2009,1852334575
CPV,2010,1824751468
CPV,2011,2046817987
CPV,2012,1913081210
CPV,2013,2028910915
CPV,2014,2041930125
CPV,2015,1749857620
CPV,2016,1849789986
CPV,2017,1996741540
CPV,2018,2205099507
CPV,2019,2252177124
CPV,2020,1821565614
KHM,1990,1402541177
KHM,1991,2054974089
KHM,1992,2491486594
KHM,1993,2533727592
KHM,1994,2791435272
KHM,1995,3441205693
KHM,1996,3506695720
KHM,1997,3443413389
KHM,1998,3120425503
KHM,1999,3517242477
KHM,2000,3654031716
KHM,2001,3984000517
KHM,2002,4284028483
KHM,2003,4658246918
KHM,2004,5337833248
KHM,2005,6293046162
KHM,2006,7274595707
KHM,2007,8639235913
KHM,2008,10351914177
KHM,2009,10401851768
KHM,2010,11242275288
KHM,2011,12829541141
KHM,2012,14054443213
KHM,2013,15227991395
KHM,2014,16702610842
KHM,2015,18049954289
KHM,2016,20016747858
KHM,2017,22177200588
KHM,2018,24571753583
KHM,2019,27089390033
KHM,2020,25872797892
CMR,1990,12314482628
CMR,1991,11840192296
CMR,1992,12071775335
CMR,1993,16181814713
CMR,1994,8902446252
CMR,1995,10864772471
CMR,1996,11093538846
CMR,1997,10789458433
CMR,1998,11298144990
CMR,1999,11565826459
CMR,2000,10566579295
CMR,2001,10953485345
CMR,2002,12417251342
CMR,2003,15970315030
CMR,2004,18826214125
CMR,2005,19509852220
CMR,2006,20910512979
CMR,2007,23928250409
CMR,2008,27715142006
CMR,2009,27932970297
CMR,2010,27507501809
CMR,2011,30630910513
CMR,2012,30155062302
CMR,2013,33728621190
CMR,2014,36386544715
CMR,2015,32210233021
CMR,2016,33814337041
CMR,2017,36098547059
CMR,2018,39955552190
CMR,2019,39667757528
CMR,2020,40773241177
CAN,1990,596076000000
CAN,1991,612528000000
CAN,1992,594387000000
CAN,1993,579054000000
CAN,1994,579944000000
CAN,1995,605961000000
CAN,1996,630608000000
CAN,1997,654987000000
CAN,1998,634000000000
CAN,1999,678412000000
CAN,2000,744773000000
CAN,2001,738982000000
CAN,2002,760649000000
CAN,2003,895541000000
CAN,2004,1026690000000
CAN,2005,1173110000000
CAN,2006,1319260000000
CAN,2007,1468820000000
CAN,2008,1552990000000
CAN,2009,1374630000000
CAN,2010,1617340000000
CAN,2011,1793330000000
CAN,2012,1828370000000
CAN,2013,1846600000000
CAN,2014,1805750000000
CAN,2015,1556510000000
CAN,2016,1527990000000
CAN,2017,1649270000000
CAN,2018,1725330000000
CAN,2019,1743730000000
CAN,2020,1655680000000
CYM,2006,4200288282
CYM,2007,4466278031
CYM,2008,4585948969
CYM,2009,4281714618
CYM,2010,4156841164
CYM,2011,4186073160
CYM,2012,4291004486
CYM,2013,4405796081
CYM,2014,4562853582
CYM,2015,4708167255
CYM,2016,4909322200
CYM,2017,5166281293
CYM,2018,5530178499
CYM,2019,5941896600
CYM,2020,5655357984
CAF,1990,1440711459
CAF,1991,1377374987
CAF,1992,1411917553
CAF,1993,1278781262
CAF,1994,851174356.8
CAF,1995,1115389674
CAF,1996,1007791127
CAF,1997,937741513
CAF,1998,967338389.7
CAF,1999,999477510.7
CAF,2000,916777282.7
CAF,2001,932648604.8
CAF,2002,996068144.9
CAF,2003,1142315523
CAF,2004,1272360517
CAF,2005,1337894379
CAF,2006,1461859762
CAF,2007,1699811295
CAF,2008,1993407888
CAF,2009,2067381665
CAF,2010,2142591540
CAF,2011,2437982705
CAF,2012,2510126512
CAF,2013,1691544110
CAF,2014,1894813389
CAF,2015,1695825714
CAF,2016,1825018145
CAF,2017,2072349973
CAF,2018,2220979146
CAF,2019,2221301351
CAF,2020,2326720900
TCD,1990,1738605558
TCD,1991,1877137982
TCD,1992,1881847670
TCD,1993,1463251164
TCD,1994,1179837963
TCD,1995,1445919895
TCD,1996,1607345356
TCD,1997,1544689577
TCD,1998,1744794531
TCD,1999,1534673583
TCD,2000,1388506772
TCD,2001,1710843377
TCD,2002,1997005709
TCD,2003,2742815072
TCD,2004,4422855661
TCD,2005,6649307524
TCD,2006,7428701454
TCD,2007,8650137743
TCD,2008,10393833765
TCD,2009,9290728319
TCD,2010,10668103554
TCD,2011,12172308851
TCD,2012,12367362757
TCD,2013,12953534866
TCD,2014,13940767219
TCD,2015,10950392257
TCD,2016,10097778098
TCD,2017,10000394381
TCD,2018,11239167898
TCD,2019,11314951092
TCD,2020,10715396042
CHI,1998,5945677377
CHI,1999,6262740657
CHI,2000,6439703435
CHI,2001,6232906290
CHI,2002,6663669065
CHI,2003,7332244898
CHI,2004,8553643354
CHI,2005,8827272727
CHI,2006,9676172953
CHI,2007,11514605842
CHI,2016,9072059721
CHI,2017,9070980827
CHI,2018,9940766574
CHI,2019,9921386550
CHI,2020,9301349237
CHL,1990,33137824762
CHL,1991,37846188228
CHL,1992,45949608552
CHL,1993,49287378599
CHL,1994,56998601184
CHL,1995,73444831671
CHL,1996,78584098983
